2018-04-26 20:19:49, Dayside Nadir, UVIS, 20180426_201954
2018-04-26 22:08:19, Egress Solar Occultation, UVIS, 20180426_220824
2018-04-27 02:23:24, Dayside Nadir, UVIS, 20180427_022329
2018-04-27 02:43:49, Dayside Nadir, UVIS, 20180427_024354
2018-04-27 03:04:23, Dayside Nadir, UVIS, 20180427_030429
2018-04-27 03:19:20, Ingress Solar Occultation, UVIS, 20180427_031926
2018-04-27 08:17:05, Dayside Nadir, UVIS, 20180427_081710
2018-04-27 08:37:24, Dayside Nadir, UVIS, 20180427_083729
2018-04-27 08:58:00, Dayside Nadir, UVIS, 20180427_085805
2018-04-27 13:08:52, Ingress Solar Occultation, UVIS, 20180427_130858
2018-04-27 13:51:03, Egress Solar Occultation, UVIS, 20180427_135109
2018-04-27 14:10:41, Dayside Nadir, UVIS, 20180427_141047
2018-04-27 20:04:23, Dayside Nadir, UVIS, 20180427_200429
2018-04-27 20:24:27, Dayside Nadir, UVIS, 20180427_202433
2018-04-27 20:45:03, Dayside Nadir, UVIS, 20180427_204508
2018-04-28 00:56:16, Ingress Solar Occultation, UVIS, 20180428_005622
2018-04-28 01:38:08, Egress Solar Occultation, UVIS, 20180428_013814
2018-04-28 07:51:40, Dayside Nadir, UVIS, 20180428_075146
2018-04-28 09:02:39, Nightside Nadir, UVIS, 20180428_090245
2018-04-28 09:39:35, Dayside Nadir, UVIS, 20180428_093941
2018-04-28 11:00:34, Nightside Nadir, UVIS, 20180428_110040
2018-04-28 11:37:28, Dayside Nadir, UVIS, 20180428_113734
2018-04-28 12:58:26, Nightside Nadir, UVIS, 20180428_125832
2018-04-28 16:54:07, Nightside Nadir, UVIS, 20180428_165413
2018-04-28 17:31:02, Dayside Nadir, UVIS, 20180428_173108
2018-04-28 18:52:02, Nightside Nadir, UVIS, 20180428_185207
2018-04-28 19:28:58, Dayside Nadir, UVIS, 20180428_192903
2018-04-28 20:49:57, Nightside Nadir, UVIS, 20180428_205002
2018-04-28 21:26:54, Dayside Nadir, UVIS, 20180428_212659
2018-04-28 22:47:51, Nightside Nadir, UVIS, 20180428_224756
2018-04-28 23:24:48, Dayside Nadir, UVIS, 20180428_232453
2018-04-29 00:45:43, Nightside Nadir, UVIS, 20180429_004548
2018-04-29 01:22:39, Dayside Nadir, UVIS, 20180429_012244
2018-04-29 02:28:59, Ingress Solar Occultation, UVIS, 20180429_022904
2018-04-29 03:10:04, Egress Solar Occultation, UVIS, 20180429_031009
2018-04-29 07:26:17, Dayside Nadir, UVIS, 20180429_072622
2018-04-29 07:45:40, Dayside Nadir, UVIS, 20180429_074545
2018-04-29 08:06:16, Dayside Nadir, UVIS, 20180429_080621
2018-04-29 12:18:39, Ingress Solar Occultation, UVIS, 20180429_121844
2018-04-29 12:59:20, Egress Solar Occultation, UVIS, 20180429_125925
2018-04-29 13:19:59, Dayside Nadir, UVIS, 20180429_132004
